0 <- 1684 : 2 | 1684 58 0 
1 <- 1684 : 3 | 1684 58 0 1 
2 <- 1684 : 3 | 1684 58 0 2 
3 <- 1684 : 3 | 1684 58 0 3 
4 <- 1684 : 3 | 1684 58 0 4 
5 <- 1684 : 3 | 1684 58 0 5 
6 <- 1684 : 3 | 1684 58 0 6 
7 <- 1718 : 2 | 1718 136 7 
8 <- 1684 : 3 | 1684 58 0 8 
9 <- 1684 : 3 | 1684 58 0 9 
10 <- 1684 : 3 | 1684 58 0 10 
11 <- 1684 : 3 | 1684 58 0 11 
12 <- 1684 : 3 | 1684 58 0 12 
13 <- 1684 : 3 | 1684 58 0 13 
14 <- 1684 : 3 | 1684 58 0 14 
15 <- 1684 : 3 | 1684 58 0 15 
16 <- 1684 : 3 | 1684 58 0 16 
17 <- 1684 : 3 | 1684 58 0 17 
18 <- 1684 : 3 | 1684 58 0 18 
19 <- 1684 : 3 | 1684 58 0 19 
20 <- 1684 : 3 | 1684 58 0 20 
21 <- 1718 : 2 | 1718 136 21 
22 <- 1684 : 3 | 1684 58 0 22 
23 <- 1684 : 3 | 1684 58 0 23 
24 <- 1684 : 3 | 1684 58 0 24 
25 <- 1684 : 3 | 1684 58 0 25 
26 <- 1684 : 3 | 1684 58 0 26 
27 <- 1684 : 3 | 1684 58 0 27 
28 <- 1684 : 3 | 1684 58 0 28 
29 <- 1684 : 3 | 1684 58 0 29 
30 <- 1684 : 3 | 1684 58 0 30 
31 <- 1684 : 3 | 1684 58 0 31 
32 <- 1684 : 3 | 1684 58 0 32 
33 <- 1684 : 3 | 1684 58 0 33 
34 <- 1692 : 2 | 1692 428 34 
35 <- 1684 : 3 | 1684 58 0 35 
36 <- 1684 : 3 | 1684 58 0 36 
37 <- 1684 : 3 | 1684 58 0 37 
38 <- 1684 : 3 | 1684 58 0 38 
39 <- 1684 : 3 | 1684 58 0 39 
40 <- 1684 : 3 | 1684 58 0 40 
41 <- 1684 : 3 | 1684 58 0 41 
42 <- 1684 : 3 | 1684 58 0 42 
43 <- 1684 : 3 | 1684 58 0 43 
44 <- 1684 : 3 | 1684 58 0 44 
45 <- 1684 : 3 | 1684 58 0 45 
46 <- 1684 : 3 | 1684 58 0 46 
47 <- 1684 : 3 | 1684 58 0 47 
48 <- 1684 : 3 | 1684 58 0 48 
49 <- 1684 : 3 | 1684 58 0 49 
50 <- 1684 : 3 | 1684 58 0 50 
51 <- 1684 : 3 | 1684 58 0 51 
52 <- 1684 : 3 | 1684 58 0 52 
53 <- 1684 : 3 | 1684 58 0 53 
54 <- 1684 : 3 | 1684 58 0 54 
55 <- 1684 : 3 | 1684 58 0 55 
56 <- 1718 : 2 | 1718 136 56 
57 <- 1684 : 3 | 1684 58 0 57 
58 <- 1684 : 1 | 1684 58 
59 <- 1684 : 3 | 1684 58 0 59 
60 <- 1684 : 3 | 1684 58 0 60 
61 <- 1684 : 3 | 1684 58 0 61 
62 <- 1684 : 3 | 1684 58 0 62 
63 <- 1684 : 3 | 1684 58 0 63 
64 <- 1684 : 2 | 1684 171 64 
65 <- 1684 : 3 | 1684 58 0 65 
66 <- 1684 : 3 | 1684 58 0 66 
67 <- 1718 : 2 | 1718 136 67 
68 <- 1684 : 3 | 1684 58 0 68 
69 <- 1684 : 3 | 1684 58 0 69 
70 <- 1684 : 3 | 1684 58 0 70 
71 <- 1684 : 3 | 1684 58 0 71 
72 <- 1684 : 3 | 1684 58 0 72 
73 <- 1684 : 3 | 1684 58 0 73 
74 <- 1684 : 3 | 1684 58 0 74 
75 <- 1684 : 3 | 1684 58 0 75 
76 <- 1684 : 3 | 1684 58 0 76 
77 <- 1684 : 3 | 1684 58 0 77 
78 <- 1684 : 3 | 1684 58 0 78 
79 <- 1684 : 3 | 1684 58 0 79 
80 <- 1684 : 3 | 1684 58 0 80 
81 <- 1684 : 3 | 1684 58 0 81 
82 <- 1684 : 3 | 1684 58 0 82 
83 <- 1684 : 3 | 1684 58 0 83 
84 <- 1684 : 3 | 1684 58 0 84 
85 <- 1684 : 3 | 1684 58 0 85 
86 <- 1684 : 3 | 1684 58 0 86 
87 <- 1718 : 2 | 1718 136 87 
88 <- 1684 : 3 | 1684 58 0 88 
89 <- 1684 : 3 | 1684 58 0 89 
90 <- 1684 : 3 | 1684 58 0 90 
