0 <- 2838 : 2 | 2838 58 0 
1 <- 2838 : 3 | 2838 58 0 1 
2 <- 2838 : 3 | 2838 58 0 2 
3 <- 2838 : 3 | 2838 58 0 3 
4 <- 2838 : 3 | 2838 58 0 4 
5 <- 2838 : 3 | 2838 58 0 5 
6 <- 2838 : 3 | 2838 58 0 6 
7 <- 2838 : 3 | 2838 58 0 7 
8 <- 2838 : 3 | 2838 58 0 8 
9 <- 2838 : 3 | 2838 58 0 9 
10 <- 2838 : 3 | 2838 58 0 10 
11 <- 2838 : 3 | 2838 58 0 11 
12 <- 2838 : 3 | 2838 58 0 12 
13 <- 2838 : 3 | 2838 58 0 13 
14 <- 2838 : 3 | 2838 58 0 14 
15 <- 2838 : 3 | 2838 58 0 15 
16 <- 2838 : 3 | 2838 58 0 16 
17 <- 2838 : 3 | 2838 58 0 17 
18 <- 2838 : 3 | 2838 58 0 18 
19 <- 2838 : 3 | 2838 58 0 19 
20 <- 2838 : 3 | 2838 58 0 20 
21 <- 2838 : 3 | 2838 58 0 21 
22 <- 2838 : 3 | 2838 58 0 22 
23 <- 2838 : 3 | 2838 58 0 23 
24 <- 2838 : 3 | 2838 58 0 24 
25 <- 2838 : 3 | 2838 58 0 25 
26 <- 2838 : 3 | 2838 58 0 26 
27 <- 2838 : 3 | 2838 58 0 27 
28 <- 2838 : 3 | 2838 58 0 28 
29 <- 2838 : 3 | 2838 58 0 29 
30 <- 2838 : 3 | 2838 58 0 30 
31 <- 2838 : 3 | 2838 58 0 31 
32 <- 2838 : 3 | 2838 58 0 32 
33 <- 2838 : 3 | 2838 58 0 33 
34 <- 2838 : 3 | 2838 58 0 34 
35 <- 2838 : 3 | 2838 58 0 35 
36 <- 2838 : 3 | 2838 58 0 36 
37 <- 2838 : 3 | 2838 58 0 37 
38 <- 2838 : 3 | 2838 58 0 38 
39 <- 2838 : 3 | 2838 58 0 39 
40 <- 2838 : 3 | 2838 58 0 40 
41 <- 2838 : 3 | 2838 58 0 41 
42 <- 2838 : 3 | 2838 58 0 42 
43 <- 2838 : 3 | 2838 58 0 43 
44 <- 2838 : 3 | 2838 58 0 44 
45 <- 2838 : 3 | 2838 58 0 45 
46 <- 2838 : 3 | 2838 58 0 46 
47 <- 2838 : 3 | 2838 58 0 47 
48 <- 2838 : 3 | 2838 58 0 48 
49 <- 2838 : 3 | 2838 58 0 49 
50 <- 2838 : 3 | 2838 58 0 50 
51 <- 2838 : 3 | 2838 58 0 51 
52 <- 2838 : 3 | 2838 58 0 52 
53 <- 2838 : 3 | 2838 58 0 53 
54 <- 2838 : 3 | 2838 58 0 54 
55 <- 2838 : 3 | 2838 58 0 55 
56 <- 2838 : 3 | 2838 58 0 56 
57 <- 2838 : 3 | 2838 58 0 57 
58 <- 2838 : 1 | 2838 58 
59 <- 2838 : 3 | 2838 58 0 59 
60 <- 2838 : 3 | 2838 58 0 60 
61 <- 2838 : 3 | 2838 58 0 61 
62 <- 2838 : 3 | 2838 58 0 62 
63 <- 2838 : 3 | 2838 58 0 63 
64 <- 2838 : 2 | 2838 171 64 
65 <- 2838 : 3 | 2838 58 0 65 
66 <- 2838 : 3 | 2838 58 0 66 
67 <- 2838 : 3 | 2838 58 0 67 
68 <- 2838 : 3 | 2838 58 0 68 
69 <- 2838 : 3 | 2838 58 0 69 
70 <- 2838 : 3 | 2838 58 0 70 
71 <- 2838 : 3 | 2838 58 0 71 
