0 <- 2814 : 2 | 2814 58 0 
1 <- 2814 : 3 | 2814 58 0 1 
2 <- 2814 : 3 | 2814 58 0 2 
3 <- 2814 : 3 | 2814 58 0 3 
4 <- 2814 : 3 | 2814 58 0 4 
5 <- 2814 : 3 | 2814 58 0 5 
6 <- 2814 : 3 | 2814 58 0 6 
7 <- 2436 : 2 | 2436 136 7 
8 <- 2814 : 3 | 2814 58 0 8 
9 <- 2814 : 3 | 2814 58 0 9 
10 <- 2814 : 3 | 2814 58 0 10 
11 <- 2814 : 3 | 2814 58 0 11 
12 <- 2814 : 3 | 2814 58 0 12 
13 <- 2814 : 3 | 2814 58 0 13 
14 <- 2814 : 3 | 2814 58 0 14 
15 <- 2814 : 3 | 2814 58 0 15 
16 <- 2814 : 3 | 2814 58 0 16 
17 <- 2814 : 3 | 2814 58 0 17 
18 <- 2814 : 3 | 2814 58 0 18 
19 <- 2814 : 3 | 2814 58 0 19 
20 <- 2814 : 3 | 2814 58 0 20 
21 <- 2436 : 2 | 2436 136 21 
22 <- 2814 : 3 | 2814 58 0 22 
23 <- 2814 : 3 | 2814 58 0 23 
24 <- 2814 : 3 | 2814 58 0 24 
25 <- 2814 : 3 | 2814 58 0 25 
26 <- 2814 : 3 | 2814 58 0 26 
27 <- 2814 : 3 | 2814 58 0 27 
28 <- 2814 : 3 | 2814 58 0 28 
29 <- 2814 : 3 | 2814 58 0 29 
30 <- 2814 : 3 | 2814 58 0 30 
31 <- 2814 : 3 | 2814 58 0 31 
32 <- 2814 : 3 | 2814 58 0 32 
33 <- 2814 : 3 | 2814 58 0 33 
34 <- 2814 : 3 | 2814 58 0 34 
35 <- 2814 : 3 | 2814 58 0 35 
36 <- 2814 : 3 | 2814 58 0 36 
37 <- 2814 : 3 | 2814 58 0 37 
38 <- 2814 : 3 | 2814 58 0 38 
39 <- 2814 : 3 | 2814 58 0 39 
40 <- 2814 : 3 | 2814 58 0 40 
41 <- 2814 : 3 | 2814 58 0 41 
42 <- 2814 : 3 | 2814 58 0 42 
43 <- 2814 : 3 | 2814 58 0 43 
44 <- 2814 : 3 | 2814 58 0 44 
45 <- 2814 : 3 | 2814 58 0 45 
46 <- 2814 : 3 | 2814 58 0 46 
47 <- 2814 : 3 | 2814 58 0 47 
48 <- 2814 : 3 | 2814 58 0 48 
49 <- 2814 : 3 | 2814 58 0 49 
50 <- 2814 : 3 | 2814 58 0 50 
51 <- 2814 : 3 | 2814 58 0 51 
52 <- 2814 : 3 | 2814 58 0 52 
53 <- 2814 : 3 | 2814 58 0 53 
54 <- 2814 : 3 | 2814 58 0 54 
55 <- 2814 : 3 | 2814 58 0 55 
56 <- 2436 : 2 | 2436 136 56 
57 <- 2814 : 3 | 2814 58 0 57 
58 <- 2814 : 1 | 2814 58 
59 <- 2814 : 3 | 2814 58 0 59 
60 <- 2814 : 3 | 2814 58 0 60 
61 <- 2814 : 3 | 2814 58 0 61 
62 <- 2814 : 3 | 2814 58 0 62 
63 <- 2814 : 3 | 2814 58 0 63 
64 <- 2704 : 2 | 2704 171 64 
65 <- 2814 : 3 | 2814 58 0 65 
66 <- 2814 : 3 | 2814 58 0 66 
67 <- 2436 : 2 | 2436 136 67 
68 <- 2814 : 3 | 2814 58 0 68 
69 <- 2814 : 3 | 2814 58 0 69 
70 <- 2814 : 3 | 2814 58 0 70 
71 <- 2814 : 3 | 2814 58 0 71 
72 <- 2814 : 3 | 2814 58 0 72 
73 <- 2814 : 3 | 2814 58 0 73 
74 <- 2814 : 3 | 2814 58 0 74 
75 <- 2814 : 3 | 2814 58 0 75 
76 <- 2814 : 3 | 2814 58 0 76 
77 <- 2814 : 3 | 2814 58 0 77 
78 <- 2814 : 3 | 2814 58 0 78 
79 <- 2814 : 3 | 2814 58 0 79 
80 <- 2814 : 3 | 2814 58 0 80 
81 <- 2814 : 3 | 2814 58 0 81 
82 <- 2814 : 3 | 2814 58 0 82 
83 <- 2814 : 3 | 2814 58 0 83 
84 <- 2814 : 3 | 2814 58 0 84 
85 <- 2814 : 3 | 2814 58 0 85 
86 <- 2814 : 3 | 2814 58 0 86 
87 <- 2436 : 2 | 2436 136 87 
88 <- 2814 : 3 | 2814 58 0 88 
89 <- 2814 : 3 | 2814 58 0 89 
90 <- 2814 : 3 | 2814 58 0 90 
91 <- 2814 : 3 | 2814 58 0 91 
92 <- 2814 : 3 | 2814 58 0 92 
93 <- 2814 : 3 | 2814 58 0 93 
94 <- 2814 : 3 | 2814 58 0 94 
95 <- 2814 : 3 | 2814 58 0 95 
96 <- 2814 : 3 | 2814 58 0 96 
97 <- 2814 : 3 | 2814 58 0 97 
98 <- 2814 : 3 | 2814 58 0 98 
99 <- 2814 : 3 | 2814 58 0 99 
100 <- 2814 : 3 | 2814 58 0 100 
101 <- 2814 : 3 | 2814 58 0 101 
102 <- 2814 : 3 | 2814 58 0 102 
103 <- 2436 : 2 | 2436 136 103 
104 <- 2814 : 3 | 2814 58 0 104 
105 <- 2814 : 3 | 2814 58 0 105 
106 <- 2814 : 3 | 2814 58 0 106 
107 <- 2814 : 2 | 2814 58 107 
108 <- 2814 : 3 | 2814 58 0 108 
109 <- 2814 : 3 | 2814 58 0 109 
110 <- 2814 : 3 | 2814 58 0 110 
111 <- 2814 : 3 | 2814 58 0 111 
112 <- 2814 : 3 | 2814 58 0 112 
113 <- 2814 : 3 | 2814 58 0 113 
114 <- 2814 : 3 | 2814 58 0 114 
115 <- 2814 : 3 | 2814 58 0 115 
116 <- 2814 : 3 | 2814 58 0 116 
117 <- 2814 : 3 | 2814 58 0 117 
118 <- 2814 : 3 | 2814 58 0 118 
119 <- 2704 : 2 | 2704 171 119 
120 <- 2436 : 2 | 2436 136 120 
121 <- 2814 : 3 | 2814 58 0 121 
122 <- 2436 : 2 | 2436 136 122 
123 <- 2814 : 3 | 2814 58 0 123 
124 <- 2814 : 3 | 2814 58 0 124 
125 <- 2436 : 2 | 2436 136 125 
126 <- 2814 : 3 | 2814 58 0 126 
127 <- 2814 : 3 | 2814 58 0 127 
128 <- 2814 : 3 | 2814 58 0 128 
129 <- 2814 : 3 | 2814 58 0 129 
130 <- 2814 : 3 | 2814 58 0 130 
131 <- 2814 : 3 | 2814 58 0 131 
132 <- 2814 : 3 | 2814 58 0 132 
133 <- 2814 : 3 | 2814 58 0 133 
134 <- 2814 : 3 | 2814 58 0 134 
135 <- 2814 : 3 | 2814 58 0 135 
136 <- 2436 : 1 | 2436 136 
137 <- 2814 : 3 | 2814 58 0 137 
