0 <- 1212 : 2 | 1212 107 0 
1 <- 1212 : 3 | 1212 107 0 1 
2 <- 1212 : 3 | 1212 107 0 2 
3 <- 1212 : 3 | 1212 107 0 3 
4 <- 1212 : 3 | 1212 107 0 4 
5 <- 1212 : 3 | 1212 107 0 5 
6 <- 1212 : 3 | 1212 107 0 6 
7 <- 1212 : 3 | 1212 107 0 7 
8 <- 1212 : 3 | 1212 107 0 8 
9 <- 1212 : 3 | 1212 107 0 9 
10 <- 1212 : 3 | 1212 107 0 10 
11 <- 1212 : 3 | 1212 107 0 11 
12 <- 1212 : 3 | 1212 107 0 12 
13 <- 1212 : 3 | 1212 107 0 13 
14 <- 1212 : 3 | 1212 107 0 14 
15 <- 1212 : 3 | 1212 107 0 15 
16 <- 1212 : 3 | 1212 107 0 16 
17 <- 1212 : 3 | 1212 107 0 17 
18 <- 1212 : 3 | 1212 107 0 18 
19 <- 1212 : 3 | 1212 107 0 19 
20 <- 1212 : 3 | 1212 107 0 20 
21 <- 1212 : 3 | 1212 107 0 21 
22 <- 1212 : 3 | 1212 107 0 22 
23 <- 1212 : 3 | 1212 107 0 23 
24 <- 1212 : 3 | 1212 107 0 24 
25 <- 1212 : 3 | 1212 107 0 25 
26 <- 1212 : 3 | 1212 107 0 26 
27 <- 1212 : 3 | 1212 107 0 27 
28 <- 1212 : 3 | 1212 107 0 28 
29 <- 1212 : 3 | 1212 107 0 29 
30 <- 1212 : 3 | 1212 107 0 30 
31 <- 1212 : 3 | 1212 107 0 31 
32 <- 1212 : 3 | 1212 107 0 32 
33 <- 1212 : 3 | 1212 107 0 33 
34 <- 1226 : 2 | 1226 428 34 
35 <- 1212 : 3 | 1212 107 0 35 
36 <- 1212 : 3 | 1212 107 0 36 
37 <- 1212 : 3 | 1212 107 0 37 
38 <- 1212 : 3 | 1212 107 0 38 
39 <- 1212 : 3 | 1212 107 0 39 
40 <- 1212 : 3 | 1212 107 0 40 
41 <- 1212 : 3 | 1212 107 0 41 
42 <- 1212 : 3 | 1212 107 0 42 
43 <- 1212 : 3 | 1212 107 0 43 
44 <- 1212 : 3 | 1212 107 0 44 
45 <- 1212 : 3 | 1212 107 0 45 
46 <- 1212 : 3 | 1212 107 0 46 
47 <- 1212 : 3 | 1212 107 0 47 
48 <- 1212 : 3 | 1212 107 0 48 
49 <- 1212 : 3 | 1212 107 0 49 
50 <- 1212 : 3 | 1212 107 0 50 
51 <- 1212 : 3 | 1212 107 0 51 
52 <- 1212 : 3 | 1212 107 0 52 
53 <- 1212 : 3 | 1212 107 0 53 
54 <- 1212 : 3 | 1212 107 0 54 
55 <- 1212 : 3 | 1212 107 0 55 
56 <- 1212 : 3 | 1212 107 0 56 
57 <- 1212 : 3 | 1212 107 0 57 
58 <- 1212 : 2 | 1212 107 58 
59 <- 1212 : 3 | 1212 107 0 59 
60 <- 1212 : 3 | 1212 107 0 60 
61 <- 1212 : 3 | 1212 107 0 61 
62 <- 1212 : 3 | 1212 107 0 62 
63 <- 1212 : 3 | 1212 107 0 63 
64 <- 1297 : 2 | 1297 171 64 
65 <- 1212 : 3 | 1212 107 0 65 
66 <- 1212 : 3 | 1212 107 0 66 
67 <- 1212 : 3 | 1212 107 0 67 
68 <- 1212 : 3 | 1212 107 0 68 
69 <- 1212 : 3 | 1212 107 0 69 
70 <- 1212 : 3 | 1212 107 0 70 
71 <- 1212 : 3 | 1212 107 0 71 
72 <- 1212 : 3 | 1212 107 0 72 
73 <- 1212 : 3 | 1212 107 0 73 
74 <- 1212 : 3 | 1212 107 0 74 
75 <- 1212 : 3 | 1212 107 0 75 
76 <- 1212 : 3 | 1212 107 0 76 
77 <- 1212 : 3 | 1212 107 0 77 
78 <- 1212 : 3 | 1212 107 0 78 
79 <- 1212 : 3 | 1212 107 0 79 
80 <- 1212 : 3 | 1212 107 0 80 
81 <- 1212 : 3 | 1212 107 0 81 
82 <- 1212 : 3 | 1212 107 0 82 
83 <- 1212 : 3 | 1212 107 0 83 
84 <- 1212 : 3 | 1212 107 0 84 
85 <- 1212 : 3 | 1212 107 0 85 
86 <- 1212 : 3 | 1212 107 0 86 
87 <- 1212 : 3 | 1212 107 0 87 
88 <- 1212 : 3 | 1212 107 0 88 
89 <- 1212 : 3 | 1212 107 0 89 
90 <- 1212 : 3 | 1212 107 0 90 
91 <- 1212 : 3 | 1212 107 0 91 
92 <- 1212 : 3 | 1212 107 0 92 
93 <- 1212 : 3 | 1212 107 0 93 
94 <- 1212 : 3 | 1212 107 0 94 
95 <- 1212 : 3 | 1212 107 0 95 
96 <- 1212 : 3 | 1212 107 0 96 
97 <- 1212 : 3 | 1212 107 0 97 
98 <- 1212 : 3 | 1212 107 0 98 
99 <- 1212 : 3 | 1212 107 0 99 
100 <- 1212 : 3 | 1212 107 0 100 
101 <- 1212 : 3 | 1212 107 0 101 
102 <- 1212 : 3 | 1212 107 0 102 
103 <- 1212 : 3 | 1212 107 0 103 
104 <- 1212 : 3 | 1212 107 0 104 
105 <- 1212 : 3 | 1212 107 0 105 
106 <- 1212 : 3 | 1212 107 0 106 
107 <- 1212 : 1 | 1212 107 
108 <- 1212 : 3 | 1212 107 0 108 
109 <- 1212 : 3 | 1212 107 0 109 
110 <- 1212 : 3 | 1212 107 0 110 
111 <- 1212 : 3 | 1212 107 0 111 
112 <- 1212 : 3 | 1212 107 0 112 
113 <- 1212 : 3 | 1212 107 0 113 
114 <- 1212 : 3 | 1212 107 0 114 
115 <- 1212 : 3 | 1212 107 0 115 
116 <- 1212 : 3 | 1212 107 0 116 
117 <- 1212 : 3 | 1212 107 0 117 
118 <- 1212 : 3 | 1212 107 0 118 
119 <- 1297 : 2 | 1297 171 119 
120 <- 1212 : 3 | 1212 107 0 120 
121 <- 1212 : 3 | 1212 107 0 121 
122 <- 1212 : 3 | 1212 107 0 122 
