0 <- 414 : 2 | 414 34 0 
1 <- 414 : 3 | 414 34 0 1 
2 <- 414 : 3 | 414 34 0 2 
3 <- 414 : 3 | 414 34 0 3 
4 <- 414 : 3 | 414 34 0 4 
5 <- 414 : 3 | 414 34 0 5 
6 <- 414 : 3 | 414 34 0 6 
7 <- 414 : 3 | 414 34 0 7 
8 <- 414 : 3 | 414 34 0 8 
9 <- 414 : 3 | 414 34 0 9 
10 <- 414 : 3 | 414 34 0 10 
11 <- 414 : 3 | 414 34 0 11 
12 <- 414 : 3 | 414 34 0 12 
13 <- 414 : 3 | 414 34 0 13 
14 <- 414 : 3 | 414 34 0 14 
15 <- 414 : 3 | 414 34 0 15 
16 <- 414 : 3 | 414 34 0 16 
17 <- 414 : 3 | 414 34 0 17 
18 <- 414 : 3 | 414 34 0 18 
19 <- 414 : 3 | 414 34 0 19 
20 <- 414 : 3 | 414 34 0 20 
21 <- 414 : 3 | 414 34 0 21 
22 <- 414 : 3 | 414 34 0 22 
23 <- 414 : 3 | 414 34 0 23 
24 <- 414 : 3 | 414 34 0 24 
25 <- 414 : 3 | 414 34 0 25 
26 <- 414 : 3 | 414 34 0 26 
27 <- 414 : 3 | 414 34 0 27 
28 <- 414 : 3 | 414 34 0 28 
29 <- 414 : 3 | 414 34 0 29 
30 <- 414 : 3 | 414 34 0 30 
31 <- 414 : 3 | 414 34 0 31 
32 <- 414 : 3 | 414 34 0 32 
33 <- 414 : 3 | 414 34 0 33 
34 <- 414 : 1 | 414 34 
35 <- 414 : 3 | 414 34 0 35 
36 <- 414 : 3 | 414 34 0 36 
37 <- 414 : 3 | 414 34 0 37 
38 <- 414 : 3 | 414 34 0 38 
39 <- 414 : 3 | 414 34 0 39 
40 <- 414 : 3 | 414 34 0 40 
41 <- 414 : 3 | 414 34 0 41 
42 <- 414 : 3 | 414 34 0 42 
43 <- 414 : 3 | 414 34 0 43 
44 <- 414 : 3 | 414 34 0 44 
45 <- 414 : 3 | 414 34 0 45 
46 <- 414 : 3 | 414 34 0 46 
47 <- 414 : 3 | 414 34 0 47 
48 <- 414 : 3 | 414 34 0 48 
49 <- 414 : 3 | 414 34 0 49 
50 <- 414 : 3 | 414 34 0 50 
51 <- 414 : 3 | 414 34 0 51 
52 <- 414 : 3 | 414 34 0 52 
53 <- 414 : 3 | 414 34 0 53 
54 <- 414 : 3 | 414 34 0 54 
55 <- 414 : 3 | 414 34 0 55 
56 <- 414 : 3 | 414 34 0 56 
57 <- 414 : 3 | 414 34 0 57 
58 <- 414 : 2 | 414 107 58 
59 <- 414 : 3 | 414 34 0 59 
60 <- 414 : 3 | 414 34 0 60 
61 <- 414 : 3 | 414 34 0 61 
62 <- 414 : 3 | 414 34 0 62 
63 <- 414 : 3 | 414 34 0 63 
64 <- 414 : 3 | 414 34 0 64 
65 <- 414 : 3 | 414 34 0 65 
66 <- 414 : 3 | 414 34 0 66 
67 <- 414 : 3 | 414 34 0 67 
68 <- 414 : 3 | 414 34 0 68 
69 <- 414 : 3 | 414 34 0 69 
70 <- 414 : 3 | 414 34 0 70 
71 <- 414 : 3 | 414 34 0 71 
72 <- 414 : 3 | 414 34 0 72 
73 <- 414 : 3 | 414 34 0 73 
74 <- 414 : 3 | 414 34 0 74 
75 <- 414 : 3 | 414 34 0 75 
76 <- 414 : 3 | 414 34 0 76 
77 <- 414 : 3 | 414 34 0 77 
78 <- 414 : 3 | 414 34 0 78 
79 <- 414 : 3 | 414 34 0 79 
80 <- 414 : 2 | 414 173 80 
81 <- 414 : 3 | 414 34 0 81 
82 <- 414 : 3 | 414 34 0 82 
83 <- 414 : 3 | 414 34 0 83 
84 <- 414 : 3 | 414 34 0 84 
85 <- 414 : 3 | 414 34 0 85 
86 <- 414 : 3 | 414 34 0 86 
87 <- 414 : 3 | 414 34 0 87 
88 <- 414 : 3 | 414 34 0 88 
89 <- 414 : 3 | 414 34 0 89 
90 <- 414 : 3 | 414 34 0 90 
91 <- 414 : 3 | 414 34 0 91 
92 <- 414 : 3 | 414 34 0 92 
93 <- 414 : 3 | 414 34 0 93 
94 <- 414 : 3 | 414 34 0 94 
95 <- 414 : 3 | 414 34 0 95 
96 <- 414 : 3 | 414 34 0 96 
97 <- 414 : 3 | 414 34 0 97 
98 <- 414 : 3 | 414 34 0 98 
99 <- 414 : 3 | 414 34 0 99 
100 <- 414 : 3 | 414 34 0 100 
101 <- 414 : 3 | 414 34 0 101 
102 <- 414 : 3 | 414 34 0 102 
103 <- 414 : 3 | 414 34 0 103 
104 <- 414 : 3 | 414 34 0 104 
105 <- 414 : 3 | 414 34 0 105 
106 <- 414 : 3 | 414 34 0 106 
107 <- 414 : 1 | 414 107 
108 <- 414 : 3 | 414 34 0 108 
109 <- 414 : 3 | 414 34 0 109 
110 <- 414 : 3 | 414 34 0 110 
111 <- 414 : 3 | 414 34 0 111 
112 <- 414 : 3 | 414 34 0 112 
113 <- 414 : 3 | 414 34 0 113 
114 <- 414 : 3 | 414 34 0 114 
115 <- 414 : 3 | 414 34 0 115 
116 <- 414 : 3 | 414 34 0 116 
117 <- 414 : 3 | 414 34 0 117 
118 <- 414 : 3 | 414 34 0 118 
119 <- 414 : 3 | 414 34 0 119 
120 <- 414 : 3 | 414 34 0 120 
121 <- 414 : 3 | 414 34 0 121 
122 <- 414 : 3 | 414 34 0 122 
123 <- 414 : 3 | 414 34 0 123 
124 <- 414 : 3 | 414 34 0 124 
125 <- 414 : 3 | 414 34 0 125 
126 <- 414 : 3 | 414 34 0 126 
127 <- 414 : 3 | 414 34 0 127 
128 <- 414 : 3 | 414 34 0 128 
129 <- 414 : 3 | 414 34 0 129 
130 <- 414 : 3 | 414 34 0 130 
131 <- 414 : 3 | 414 34 0 131 
132 <- 414 : 3 | 414 34 0 132 
133 <- 414 : 3 | 414 34 0 133 
134 <- 414 : 3 | 414 34 0 134 
135 <- 414 : 3 | 414 34 0 135 
136 <- 428 : 2 | 428 1912 136 
137 <- 414 : 3 | 414 34 0 137 
138 <- 414 : 3 | 414 34 0 138 
139 <- 414 : 3 | 414 34 0 139 
140 <- 414 : 3 | 414 34 0 140 
141 <- 414 : 3 | 414 34 0 141 
142 <- 414 : 3 | 414 34 0 142 
143 <- 414 : 3 | 414 34 0 143 
144 <- 414 : 3 | 414 34 0 144 
145 <- 414 : 3 | 414 34 0 145 
146 <- 414 : 3 | 414 34 0 146 
147 <- 414 : 3 | 414 34 0 147 
148 <- 414 : 3 | 414 34 0 148 
149 <- 414 : 3 | 414 34 0 149 
150 <- 414 : 3 | 414 34 0 150 
151 <- 414 : 3 | 414 34 0 151 
152 <- 414 : 3 | 414 34 0 152 
153 <- 414 : 3 | 414 34 0 153 
154 <- 414 : 3 | 414 34 0 154 
155 <- 414 : 3 | 414 34 0 155 
156 <- 414 : 3 | 414 34 0 156 
157 <- 414 : 3 | 414 34 0 157 
158 <- 414 : 3 | 414 34 0 158 
159 <- 414 : 3 | 414 34 0 159 
