0 <- 896 : 2 | 896 107 0 
1 <- 896 : 3 | 896 107 0 1 
2 <- 896 : 3 | 896 107 0 2 
3 <- 896 : 3 | 896 107 0 3 
4 <- 896 : 3 | 896 107 0 4 
5 <- 896 : 3 | 896 107 0 5 
6 <- 896 : 3 | 896 107 0 6 
7 <- 896 : 3 | 896 107 0 7 
8 <- 896 : 3 | 896 107 0 8 
9 <- 896 : 3 | 896 107 0 9 
10 <- 896 : 3 | 896 107 0 10 
11 <- 896 : 3 | 896 107 0 11 
12 <- 896 : 3 | 896 107 0 12 
13 <- 896 : 3 | 896 107 0 13 
14 <- 896 : 3 | 896 107 0 14 
15 <- 896 : 3 | 896 107 0 15 
16 <- 896 : 3 | 896 107 0 16 
17 <- 896 : 3 | 896 107 0 17 
18 <- 896 : 3 | 896 107 0 18 
19 <- 896 : 3 | 896 107 0 19 
20 <- 896 : 3 | 896 107 0 20 
21 <- 896 : 3 | 896 107 0 21 
22 <- 896 : 3 | 896 107 0 22 
23 <- 896 : 3 | 896 107 0 23 
24 <- 896 : 3 | 896 107 0 24 
25 <- 896 : 3 | 896 107 0 25 
26 <- 896 : 3 | 896 107 0 26 
27 <- 896 : 3 | 896 107 0 27 
28 <- 896 : 3 | 896 107 0 28 
29 <- 896 : 3 | 896 107 0 29 
30 <- 896 : 3 | 896 107 0 30 
31 <- 896 : 3 | 896 107 0 31 
32 <- 896 : 3 | 896 107 0 32 
33 <- 896 : 3 | 896 107 0 33 
34 <- 1025 : 2 | 1025 348 34 
35 <- 896 : 3 | 896 107 0 35 
36 <- 896 : 3 | 896 107 0 36 
37 <- 896 : 3 | 896 107 0 37 
38 <- 896 : 3 | 896 107 0 38 
39 <- 896 : 3 | 896 107 0 39 
40 <- 896 : 3 | 896 107 0 40 
41 <- 896 : 3 | 896 107 0 41 
42 <- 896 : 3 | 896 107 0 42 
43 <- 896 : 3 | 896 107 0 43 
44 <- 896 : 3 | 896 107 0 44 
45 <- 896 : 3 | 896 107 0 45 
46 <- 896 : 3 | 896 107 0 46 
47 <- 896 : 3 | 896 107 0 47 
48 <- 896 : 3 | 896 107 0 48 
49 <- 896 : 3 | 896 107 0 49 
50 <- 896 : 3 | 896 107 0 50 
51 <- 896 : 3 | 896 107 0 51 
52 <- 896 : 3 | 896 107 0 52 
53 <- 896 : 3 | 896 107 0 53 
54 <- 896 : 3 | 896 107 0 54 
55 <- 896 : 3 | 896 107 0 55 
56 <- 896 : 3 | 896 107 0 56 
57 <- 896 : 3 | 896 107 0 57 
58 <- 896 : 2 | 896 107 58 
59 <- 896 : 3 | 896 107 0 59 
60 <- 896 : 3 | 896 107 0 60 
61 <- 896 : 3 | 896 107 0 61 
62 <- 896 : 3 | 896 107 0 62 
63 <- 896 : 3 | 896 107 0 63 
64 <- 904 : 2 | 904 171 64 
65 <- 896 : 3 | 896 107 0 65 
66 <- 896 : 3 | 896 107 0 66 
67 <- 896 : 3 | 896 107 0 67 
68 <- 896 : 3 | 896 107 0 68 
69 <- 896 : 3 | 896 107 0 69 
70 <- 896 : 3 | 896 107 0 70 
71 <- 896 : 3 | 896 107 0 71 
72 <- 896 : 3 | 896 107 0 72 
73 <- 896 : 3 | 896 107 0 73 
74 <- 896 : 3 | 896 107 0 74 
75 <- 896 : 3 | 896 107 0 75 
76 <- 896 : 3 | 896 107 0 76 
77 <- 896 : 3 | 896 107 0 77 
78 <- 896 : 3 | 896 107 0 78 
79 <- 896 : 3 | 896 107 0 79 
80 <- 896 : 3 | 896 107 0 80 
81 <- 896 : 3 | 896 107 0 81 
82 <- 896 : 3 | 896 107 0 82 
83 <- 896 : 3 | 896 107 0 83 
84 <- 896 : 3 | 896 107 0 84 
85 <- 896 : 3 | 896 107 0 85 
86 <- 896 : 3 | 896 107 0 86 
87 <- 896 : 3 | 896 107 0 87 
88 <- 896 : 3 | 896 107 0 88 
89 <- 896 : 3 | 896 107 0 89 
90 <- 896 : 3 | 896 107 0 90 
91 <- 896 : 3 | 896 107 0 91 
92 <- 896 : 3 | 896 107 0 92 
93 <- 896 : 3 | 896 107 0 93 
94 <- 896 : 3 | 896 107 0 94 
95 <- 896 : 3 | 896 107 0 95 
96 <- 896 : 3 | 896 107 0 96 
97 <- 896 : 3 | 896 107 0 97 
98 <- 896 : 3 | 896 107 0 98 
99 <- 896 : 3 | 896 107 0 99 
100 <- 896 : 3 | 896 107 0 100 
101 <- 896 : 3 | 896 107 0 101 
102 <- 896 : 3 | 896 107 0 102 
103 <- 896 : 3 | 896 107 0 103 
104 <- 896 : 3 | 896 107 0 104 
105 <- 896 : 3 | 896 107 0 105 
106 <- 896 : 3 | 896 107 0 106 
107 <- 896 : 1 | 896 107 
108 <- 896 : 3 | 896 107 0 108 
109 <- 896 : 3 | 896 107 0 109 
110 <- 896 : 3 | 896 107 0 110 
111 <- 896 : 3 | 896 107 0 111 
112 <- 896 : 3 | 896 107 0 112 
113 <- 896 : 3 | 896 107 0 113 
114 <- 896 : 3 | 896 107 0 114 
115 <- 896 : 3 | 896 107 0 115 
116 <- 896 : 3 | 896 107 0 116 
117 <- 896 : 3 | 896 107 0 117 
118 <- 896 : 3 | 896 107 0 118 
119 <- 904 : 2 | 904 171 119 
120 <- 896 : 3 | 896 107 0 120 
121 <- 896 : 3 | 896 107 0 121 
122 <- 896 : 3 | 896 107 0 122 
123 <- 896 : 3 | 896 107 0 123 
124 <- 896 : 3 | 896 107 0 124 
125 <- 896 : 3 | 896 107 0 125 
126 <- 896 : 3 | 896 107 0 126 
127 <- 896 : 3 | 896 107 0 127 
128 <- 896 : 3 | 896 107 0 128 
129 <- 896 : 3 | 896 107 0 129 
130 <- 896 : 3 | 896 107 0 130 
131 <- 896 : 3 | 896 107 0 131 
132 <- 896 : 3 | 896 107 0 132 
133 <- 896 : 3 | 896 107 0 133 
134 <- 896 : 3 | 896 107 0 134 
135 <- 896 : 3 | 896 107 0 135 
136 <- 916 : 2 | 916 1718 136 
137 <- 896 : 3 | 896 107 0 137 
138 <- 896 : 3 | 896 107 0 138 
139 <- 896 : 3 | 896 107 0 139 
140 <- 896 : 3 | 896 107 0 140 
141 <- 896 : 3 | 896 107 0 141 
142 <- 896 : 3 | 896 107 0 142 
143 <- 896 : 3 | 896 107 0 143 
144 <- 896 : 3 | 896 107 0 144 
145 <- 896 : 3 | 896 107 0 145 
146 <- 896 : 3 | 896 107 0 146 
147 <- 896 : 3 | 896 107 0 147 
148 <- 896 : 3 | 896 107 0 148 
149 <- 896 : 3 | 896 107 0 149 
150 <- 904 : 2 | 904 171 150 
151 <- 896 : 3 | 896 107 0 151 
152 <- 896 : 3 | 896 107 0 152 
153 <- 896 : 3 | 896 107 0 153 
154 <- 896 : 3 | 896 107 0 154 
155 <- 896 : 3 | 896 107 0 155 
156 <- 896 : 3 | 896 107 0 156 
157 <- 896 : 3 | 896 107 0 157 
158 <- 896 : 3 | 896 107 0 158 
159 <- 896 : 3 | 896 107 0 159 
160 <- 896 : 3 | 896 107 0 160 
161 <- 896 : 3 | 896 107 0 161 
162 <- 896 : 3 | 896 107 0 162 
163 <- 896 : 3 | 896 107 0 163 
164 <- 896 : 3 | 896 107 0 164 
165 <- 896 : 3 | 896 107 0 165 
166 <- 896 : 3 | 896 107 0 166 
167 <- 896 : 3 | 896 107 0 167 
168 <- 896 : 3 | 896 107 0 168 
169 <- 896 : 3 | 896 107 0 169 
