"Wed Jan 11 04:53:02 +0000 2023",2072,"en"
"Wed Jan 11 04:53:02 +0000 2023",5533,"en"
"Wed Jan 11 04:53:02 +0000 2023",8974,"en"
"Wed Jan 11 04:53:01 +0000 2023",7598,"en"
"Wed Jan 11 04:53:01 +0000 2023",8,"en"
"Wed Jan 11 04:53:01 +0000 2023",118,"en"
"Wed Jan 11 04:53:00 +0000 2023",0,"en"
"Wed Jan 11 04:53:00 +0000 2023",1094,"en"
"Wed Jan 11 04:53:00 +0000 2023",0,"en"
"Wed Jan 11 04:53:00 +0000 2023",7598,"en"
"Wed Jan 11 04:53:00 +0000 2023",0,"en"
"Wed Jan 11 04:52:59 +0000 2023",133,"en"
"Wed Jan 11 04:52:59 +0000 2023",350,"en"
"Wed Jan 11 04:52:58 +0000 2023",77,"en"
"Wed Jan 11 04:52:58 +0000 2023",8974,"en"
"Wed Jan 11 04:52:58 +0000 2023",2352,"en"
"Wed Jan 11 04:52:58 +0000 2023",8,"en"
"Wed Jan 11 04:52:57 +0000 2023",2352,"en"
"Wed Jan 11 04:52:57 +0000 2023",390,"en"
"Wed Jan 11 04:52:57 +0000 2023",383,"en"
"Wed Jan 11 04:52:57 +0000 2023",8974,"en"
"Wed Jan 11 04:52:57 +0000 2023",7598,"en"
"Wed Jan 11 04:52:56 +0000 2023",1512,"en"
"Wed Jan 11 04:52:56 +0000 2023",8,"en"
"Wed Jan 11 04:52:56 +0000 2023",17321,"en"
"Wed Jan 11 04:52:56 +0000 2023",0,"en"
"Wed Jan 11 04:52:56 +0000 2023",7598,"en"
"Wed Jan 11 04:52:55 +0000 2023",77,"en"
"Wed Jan 11 04:52:55 +0000 2023",1945,"en"
"Wed Jan 11 04:52:55 +0000 2023",0,"en"
"Wed Jan 11 04:52:55 +0000 2023",191,"en"
"Wed Jan 11 04:52:55 +0000 2023",35,"en"
"Wed Jan 11 04:52:54 +0000 2023",21,"en"
"Wed Jan 11 04:52:54 +0000 2023",8974,"en"
"Wed Jan 11 04:52:54 +0000 2023",2610,"en"
"Wed Jan 11 04:52:54 +0000 2023",350,"en"
"Wed Jan 11 04:52:53 +0000 2023",0,"en"
"Wed Jan 11 04:52:53 +0000 2023",155,"en"
"Wed Jan 11 04:52:53 +0000 2023",8974,"en"
"Wed Jan 11 04:52:53 +0000 2023",2487,"en"
"Wed Jan 11 04:52:53 +0000 2023",0,"en"
"Wed Jan 11 04:52:53 +0000 2023",750,"en"
"Wed Jan 11 04:52:52 +0000 2023",191,"en"
"Wed Jan 11 04:52:51 +0000 2023",0,"en"
"Wed Jan 11 04:52:51 +0000 2023",1,"en"
"Wed Jan 11 04:52:51 +0000 2023",1945,"en"
"Wed Jan 11 04:52:51 +0000 2023",0,"en"
"Wed Jan 11 04:52:50 +0000 2023",482,"en"
"Wed Jan 11 04:52:50 +0000 2023",52,"en"
"Wed Jan 11 04:52:49 +0000 2023",4,"en"
"Wed Jan 11 04:52:49 +0000 2023",2980,"en"
"Wed Jan 11 04:52:49 +0000 2023",0,"en"
"Wed Jan 11 04:52:49 +0000 2023",5239,"en"
"Wed Jan 11 04:52:48 +0000 2023",56,"en"
"Wed Jan 11 04:52:48 +0000 2023",277,"en"
"Wed Jan 11 04:52:48 +0000 2023",286,"en"
"Wed Jan 11 04:52:48 +0000 2023",11,"en"
"Wed Jan 11 04:52:48 +0000 2023",1945,"en"
"Wed Jan 11 04:52:48 +0000 2023",260,"en"
"Wed Jan 11 04:52:47 +0000 2023",657,"en"
"Wed Jan 11 04:52:47 +0000 2023",8974,"en"
"Wed Jan 11 04:52:47 +0000 2023",118,"en"
"Wed Jan 11 04:52:46 +0000 2023",165,"en"
"Wed Jan 11 04:52:45 +0000 2023",278,"en"
"Wed Jan 11 04:52:45 +0000 2023",638,"en"
"Wed Jan 11 04:52:45 +0000 2023",0,"en"
"Wed Jan 11 04:52:45 +0000 2023",1254,"en"
"Wed Jan 11 04:52:44 +0000 2023",45,"en"
"Wed Jan 11 04:52:44 +0000 2023",228,"en"
"Wed Jan 11 04:52:43 +0000 2023",0,"en"
"Wed Jan 11 04:52:43 +0000 2023",1094,"en"
"Wed Jan 11 04:52:43 +0000 2023",3842,"en"
"Wed Jan 11 04:52:43 +0000 2023",3842,"en"
"Wed Jan 11 04:52:42 +0000 2023",13,"en"
"Wed Jan 11 04:52:41 +0000 2023",5239,"en"
"Wed Jan 11 04:52:41 +0000 2023",369,"en"
"Wed Jan 11 04:52:41 +0000 2023",0,"en"
"Wed Jan 11 04:52:40 +0000 2023",2805,"en"
"Wed Jan 11 04:52:40 +0000 2023",669,"en"
"Wed Jan 11 04:52:40 +0000 2023",97,"en"
"Wed Jan 11 04:52:40 +0000 2023",2519,"en"
"Wed Jan 11 04:52:40 +0000 2023",2,"en"
